"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Financial Access Survey (FAS)","FAS","Ethiopia, The Federal Dem. Rep. of","644","","","Country Name","Ethiopia, The Federal Dem. Rep. of",""
"Financial Access Survey (FAS)","FAS","Ethiopia, The Federal Dem. Rep. of","644","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Ethiopia, The Federal Dem. Rep. of","644","","","Country SDMX Code","ET",""
"Financial Access Survey (FAS)","FAS","Ethiopia, The Federal Dem. Rep. of","644","","","Country SDMX Name","Ethiopia",""
"Financial Access Survey (FAS)","FAS","Ethiopia, The Federal Dem. Rep. of","644","","","Country Short Name","Ethiopia",""
"Financial Access Survey (FAS)","FAS","Ethiopia, The Federal Dem. Rep. of","644","","","Country Source Code","644",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country Code","819",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country Full Name","Fiji, Republic of",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country ISO 2 Code","FJ",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country ISO 3 Code","FJI",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country Name","Fiji, Rep. of",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country SDMX Code","FJ",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country SDMX Name","Fiji",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country Short Name","Fiji",""
"Financial Access Survey (FAS)","FAS","Fiji, Rep. of","819","","","Country Source Code","819",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country Code","172",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country Full Name","Finland",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country ISO 2 Code","FI",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country ISO 3 Code","FIN",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country Name","Finland",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country SDMX Code","FI",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country SDMX Name","Finland",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country Short Name","Finland",""
"Financial Access Survey (FAS)","FAS","Finland","172","","","Country Source Code","172",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country Code","132",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country Full Name","France",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country ISO 2 Code","FR",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country ISO 3 Code","FRA",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country Name","France",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country SDMX Code","FR",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country SDMX Name","France",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country Short Name","France",""
"Financial Access Survey (FAS)","FAS","France","132","","","Country Source Code","132",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country Code","646",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country Full Name","Gabon",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country ISO 2 Code","GA",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country ISO 3 Code","GAB",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country Name","Gabon",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country SDMX Code","GA",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country SDMX Name","Gabon",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country Short Name","Gabon",""
"Financial Access Survey (FAS)","FAS","Gabon","646","","","Country Source Code","646",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country Code","648",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country Full Name","Gambia, The",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country ISO 2 Code","GM",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country ISO 3 Code","GMB",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country Name","Gambia, The",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country SDMX Code","GM",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country SDMX Name","Gambia",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country Short Name","The Gambia",""
"Financial Access Survey (FAS)","FAS","Gambia, The","648","","","Country Source Code","648",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country Code","915",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country Full Name","Georgia",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country ISO 2 Code","GE",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country ISO 3 Code","GEO",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country Name","Georgia",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country SDMX Code","GE",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country SDMX Name","Georgia",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country Short Name","Georgia",""
"Financial Access Survey (FAS)","FAS","Georgia","915","","","Country Source Code","915",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country Code","134",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country Full Name","Germany",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country ISO 2 Code","DE",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country ISO 3 Code","DEU",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country Name","Germany",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country SDMX Code","DE",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country SDMX Name","Germany",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country Short Name","Germany",""
"Financial Access Survey (FAS)","FAS","Germany","134","","","Country Source Code","134",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country Code","652",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country Full Name","Ghana",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country ISO 2 Code","GH",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country ISO 3 Code","GHA",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country Name","Ghana",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country SDMX Code","GH",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country SDMX Name","Ghana",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country Short Name","Ghana",""
"Financial Access Survey (FAS)","FAS","Ghana","652","","","Country Source Code","652",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country Code","174",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country Full Name","Greece",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country ISO 2 Code","GR",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country ISO 3 Code","GRC",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country Name","Greece",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country SDMX Code","GR",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country SDMX Name","Greece",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country Short Name","Greece",""
"Financial Access Survey (FAS)","FAS","Greece","174","","","Country Source Code","174",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country Code","328",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country Full Name","Grenada",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country ISO 2 Code","GD",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country ISO 3 Code","GRD",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country Name","Grenada",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country SDMX Code","GD",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country SDMX Name","Grenada",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country Short Name","Grenada",""
"Financial Access Survey (FAS)","FAS","Grenada","328","","","Country Source Code","328",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country Code","258",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country Full Name","Guatemala",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country ISO 2 Code","GT",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country ISO 3 Code","GTM",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country Name","Guatemala",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country SDMX Code","GT",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country SDMX Name","Guatemala",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country Short Name","Guatemala",""
"Financial Access Survey (FAS)","FAS","Guatemala","258","","","Country Source Code","258",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country Code","656",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country Full Name","Guinea",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country ISO 2 Code","GN",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country ISO 3 Code","GIN",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country Name","Guinea",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country SDMX Code","GN",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country SDMX Name","Guinea",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country Short Name","Guinea",""
"Financial Access Survey (FAS)","FAS","Guinea","656","","","Country Source Code","656",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country Code","654",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country Full Name","Guinea-Bissau",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country ISO 2 Code","GW",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country ISO 3 Code","GNB",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country Name","Guinea-Bissau",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country SDMX Code","GW",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country SDMX Name","Guinea-Bissau",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country Short Name","Guinea-Bissau",""
"Financial Access Survey (FAS)","FAS","Guinea-Bissau","654","","","Country Source Code","654",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country Code","336",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country Full Name","Guyana",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country ISO 2 Code","GY",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country ISO 3 Code","GUY",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country Name","Guyana",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country SDMX Code","GY",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country SDMX Name","Guyana",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country Short Name","Guyana",""
"Financial Access Survey (FAS)","FAS","Guyana","336","","","Country Source Code","336",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country Code","263",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country Full Name","Haiti",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country ISO 2 Code","HT",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country ISO 3 Code","HTI",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country Name","Haiti",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country SDMX Code","HT",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country SDMX Name","Haiti",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country Short Name","Haiti",""
"Financial Access Survey (FAS)","FAS","Haiti","263","","","Country Source Code","263",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country Code","268",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country Full Name","Honduras",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country ISO 2 Code","HN",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country ISO 3 Code","HND",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country Name","Honduras",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country SDMX Code","HN",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country SDMX Name","Honduras",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country Short Name","Honduras",""
"Financial Access Survey (FAS)","FAS","Honduras","268","","","Country Source Code","268",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country Code","944",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country Full Name","Hungary",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country ISO 2 Code","HU",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country ISO 3 Code","HUN",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country Name","Hungary",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country SDMX Code","HU",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country SDMX Name","Hungary",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country Short Name","Hungary",""
"Financial Access Survey (FAS)","FAS","Hungary","944","","","Country Source Code","944",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country Code","176",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country Full Name","Iceland",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country ISO 2 Code","IS",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country ISO 3 Code","ISL",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country Name","Iceland",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country SDMX Code","IS",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country SDMX Name","Iceland",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country Short Name","Iceland",""
"Financial Access Survey (FAS)","FAS","Iceland","176","","","Country Source Code","176",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country Code","534",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country Full Name","India",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country ISO 2 Code","IN",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country ISO 3 Code","IND",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country Name","India",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country SDMX Code","IN",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country SDMX Name","India",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country Short Name","India",""
"Financial Access Survey (FAS)","FAS","India","534","","","Country Source Code","534",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country Code","536",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country Full Name","Indonesia",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country ISO 2 Code","ID",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country ISO 3 Code","IDN",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country Name","Indonesia",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country SDMX Code","ID",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country SDMX Name","Indonesia",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country Short Name","Indonesia",""
"Financial Access Survey (FAS)","FAS","Indonesia","536","","","Country Source Code","536",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country Code","429",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country Full Name","Iran, Islamic Republic of",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country ISO 2 Code","IR",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country ISO 3 Code","IRN",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country Name","Iran, Islamic Rep. of",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country SDMX Code","IR",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country SDMX Name","Iran, Islamic Republic of",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country Short Name","Iran",""
"Financial Access Survey (FAS)","FAS","Iran, Islamic Rep. of","429","","","Country Source Code","429",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country Code","433",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country Full Name","Iraq",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country ISO 2 Code","IQ",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country ISO 3 Code","IRQ",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country Name","Iraq",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country SDMX Code","IQ",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country SDMX Name","Iraq",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country Short Name","Iraq",""
"Financial Access Survey (FAS)","FAS","Iraq","433","","","Country Source Code","433",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country Code","178",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country Full Name","Ireland",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country ISO 2 Code","IE",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country ISO 3 Code","IRL",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country Name","Ireland",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country SDMX Code","IE",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country SDMX Name","Ireland",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country Short Name","Ireland",""
"Financial Access Survey (FAS)","FAS","Ireland","178","","","Country Source Code","178",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country Code","436",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country Full Name","Israel",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country ISO 2 Code","IL",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country ISO 3 Code","ISR",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country Name","Israel",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country SDMX Code","IL",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country SDMX Name","Israel",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country Short Name","Israel",""
"Financial Access Survey (FAS)","FAS","Israel","436","","","Country Source Code","436",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country Code","136",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country Full Name","Italy",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country ISO 2 Code","IT",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country ISO 3 Code","ITA",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country Name","Italy",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country SDMX Code","IT",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country SDMX Name","Italy",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country Short Name","Italy",""
"Financial Access Survey (FAS)","FAS","Italy","136","","","Country Source Code","136",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country Code","343",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country Full Name","Jamaica",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country ISO 2 Code","JM",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country ISO 3 Code","JAM",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country Name","Jamaica",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country SDMX Code","JM",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country SDMX Name","Jamaica",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country Short Name","Jamaica",""
"Financial Access Survey (FAS)","FAS","Jamaica","343","","","Country Source Code","343",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country Code","158",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country Full Name","Japan",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country ISO 2 Code","JP",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country ISO 3 Code","JPN",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country Name","Japan",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country SDMX Code","JP",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country SDMX Name","Japan",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country Short Name","Japan",""
"Financial Access Survey (FAS)","FAS","Japan","158","","","Country Source Code","158",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country Code","439",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country Full Name","Jordan",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country ISO 2 Code","JO",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country ISO 3 Code","JOR",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country Name","Jordan",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country SDMX Code","JO",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country SDMX Name","Jordan",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country Short Name","Jordan",""
"Financial Access Survey (FAS)","FAS","Jordan","439","","","Country Source Code","439",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country Code","916",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country Full Name","Kazakhstan, Republic of",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country ISO 2 Code","KZ",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country ISO 3 Code","KAZ",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country Name","Kazakhstan, Rep. of",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country SDMX Code","KZ",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country SDMX Name","Kazakhstan",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country Short Name","Kazakhstan",""
"Financial Access Survey (FAS)","FAS","Kazakhstan, Rep. of","916","","","Country Source Code","916",""
